wavelength,flux,flux_error
3500.0,2.145e-15,1.07e-16
3600.0,2.456e-15,1.23e-16
3700.0,2.789e-15,1.39e-16
3800.0,3.124e-15,1.56e-16
3900.0,3.467e-15,1.73e-16
4000.0,3.812e-15,1.91e-16
4100.0,4.156e-15,2.08e-16
4200.0,4.498e-15,2.25e-16
4300.0,4.836e-15,2.42e-16
4400.0,5.168e-15,2.58e-16
4500.0,5.492e-15,2.75e-16
4600.0,5.807e-15,2.90e-16
4700.0,6.112e-15,3.06e-16
4800.0,6.405e-15,3.20e-16
4900.0,6.686e-15,3.34e-16
5000.0,6.954e-15,3.48e-16
5100.0,7.208e-15,3.60e-16
5200.0,7.448e-15,3.72e-16
5300.0,7.674e-15,3.84e-16
5400.0,7.885e-15,3.94e-16
5500.0,8.082e-15,4.04e-16
5600.0,8.264e-15,4.13e-16
5700.0,8.432e-15,4.22e-16
5800.0,8.586e-15,4.29e-16
5900.0,8.726e-15,4.36e-16
6000.0,8.853e-15,4.43e-16
6100.0,8.967e-15,4.48e-16
6200.0,9.069e-15,4.53e-16
6300.0,9.159e-15,4.58e-16
6400.0,9.238e-15,4.62e-16
6500.0,9.306e-15,4.65e-16
6600.0,9.364e-15,4.68e-16
6700.0,9.412e-15,4.71e-16
6800.0,9.451e-15,4.73e-16
6900.0,9.482e-15,4.74e-16
7000.0,9.505e-15,4.75e-16
7100.0,9.520e-15,4.76e-16
7200.0,9.528e-15,4.76e-16
7300.0,9.530e-15,4.77e-16
7400.0,9.525e-15,4.76e-16
7500.0,9.515e-15,4.76e-16
7600.0,9.499e-15,4.75e-16
7700.0,9.479e-15,4.74e-16
7800.0,9.454e-15,4.73e-16
7900.0,9.425e-15,4.71e-16
8000.0,9.392e-15,4.70e-16
8100.0,9.356e-15,4.68e-16
8200.0,9.316e-15,4.66e-16
8300.0,9.274e-15,4.64e-16
8400.0,9.229e-15,4.61e-16
8500.0,9.181e-15,4.59e-16
8600.0,9.131e-15,4.57e-16
8700.0,9.079e-15,4.54e-16
8800.0,9.025e-15,4.51e-16
8900.0,8.970e-15,4.48e-16
9000.0,8.912e-15,4.46e-16
9100.0,8.854e-15,4.43e-16
9200.0,8.794e-15,4.40e-16
9300.0,8.733e-15,4.37e-16
9400.0,8.671e-15,4.34e-16
9500.0,8.608e-15,4.30e-16
9600.0,8.544e-15,4.27e-16
9700.0,8.480e-15,4.24e-16
9800.0,8.415e-15,4.21e-16
9900.0,8.350e-15,4.17e-16
10000.0,8.284e-15,4.14e-16
